18:38:30 === Wiki generation started ===
18:38:30 [initializing] Started (total: 0)
18:39:30 [modules] Started (total: 0)
18:40:07 [modules] Complete (2 items, 37.3s, 3.2/min)
19:18:52 [53/71] Completed: src/local_deepwiki/generators/dependency_graph.py (46.9s, 1.5/min, ETA: 11m 56s)
19:19:28 [54/71] Completed: src/local_deepwiki/generators/callgraph.py (36.0s, 1.5/min, ETA: 11m 14s)
19:19:54 [55/71] Completed: src/local_deepwiki/generators/coverage.py (26.4s, 1.6/min, ETA: 10m 1s)
19:20:13 [56/71] Completed: src/local_deepwiki/generators/wiki_modules.py (18.9s, 1.7/min, ETA: 9m 3s)
19:20:33 [57/71] Completed: src/local_deepwiki/generators/changelog.py (19.7s, 1.7/min, ETA: 8m 12s)
19:20:59 [58/71] Completed: src/local_deepwiki/generators/wiki_status.py (26.4s, 1.7/min, ETA: 7m 40s)
19:21:53 [59/71] Completed: src/local_deepwiki/generators/wiki_files.py (54.1s, 1.7/min, ETA: 7m 8s)
19:22:48 [60/71] Completed: src/local_deepwiki/generators/api_docs.py (54.3s, 1.6/min, ETA: 6m 47s)
19:23:24 [61/71] Completed: src/local_deepwiki/generators/source_refs.py (36.7s, 1.6/min, ETA: 6m 13s)
19:24:18 [62/71] Completed: src/local_deepwiki/generators/diagrams.py (53.1s, 1.6/min, ETA: 5m 46s)
19:25:02 [63/71] Completed: src/local_deepwiki/generators/search.py (44.8s, 1.5/min, ETA: 5m 13s)
19:25:43 [64/71] Completed: src/local_deepwiki/generators/see_also.py (41.1s, 1.5/min, ETA: 4m 33s)
19:26:38 [65/71] Completed: src/local_deepwiki/generators/test_examples.py (54.3s, 1.5/min, ETA: 4m 1s)
19:27:33 [66/71] Completed: src/local_deepwiki/generators/wiki.py (55.1s, 1.4/min, ETA: 3m 27s)
19:28:14 [67/71] Completed: src/local_deepwiki/generators/glossary.py (41.4s, 1.5/min, ETA: 2m 42s)
19:29:08 [68/71] Completed: src/local_deepwiki/export/html.py (53.5s, 1.5/min, ETA: 2m 1s)
19:29:39 [69/71] Completed: src/local_deepwiki/generators/inheritance.py (31.6s, 1.5/min, ETA: 1m 20s)
19:30:39 [70/71] Completed: src/local_deepwiki/export/pdf.py (59.9s, 1.4/min, ETA: 41.7s)
19:31:19 [71/71] Completed: src/local_deepwiki/export/streaming.py (39.5s, 1.4/min)
19:31:19 [file_docs] Complete (71 items, 51m 11s, 1.4/min)
16:01:57 === Wiki generation started ===
16:01:57 [initializing] Started (total: 0)
16:02:57 [modules] Started (total: 0)
16:03:11 [modules] Complete (2 items, 14.3s, 8.4/min)
16:03:11 [file_docs] Started (total: 71)
16:03:12 [1/71] Completed: src/local_deepwiki/logging.py (0.7s, 81.1/min, ETA: 51.8s)
16:03:32 [2/71] Completed: src/local_deepwiki/server.py (20.4s, 5.7/min, ETA: 12m 9s)
16:03:56 [3/71] Completed: coverage_html/coverage_html_cb_dd2e7eb5.js (23.6s, 4.0/min, ETA: 16m 55s)
16:04:18 [4/71] Completed: htmlcov/coverage_html_cb_dd2e7eb5.js (22.2s, 3.6/min, ETA: 18m 42s)
16:04:50 [5/71] Completed: coverage_openai_embeddings/coverage_html_cb_dd2e7eb5.js (31.3s, 3.1/min, ETA: 21m 37s)
16:05:23 [6/71] Completed: src/local_deepwiki/prompts.py (33.4s, 2.7/min, ETA: 23m 46s)
16:05:59 [7/71] Completed: src/local_deepwiki/cli_progress.py (35.6s, 2.5/min, ETA: 25m 29s)
16:07:45 [8/71] Completed: src/local_deepwiki/events.py (1m 46s, 1.8/min, ETA: 35m 56s)
16:08:26 [9/71] Completed: src/local_deepwiki/handlers.py (40.7s, 1.7/min, ETA: 36m 7s)
16:09:18 [10/71] Completed: src/local_deepwiki/config.py (52.4s, 1.6/min, ETA: 37m 18s)
16:09:56 [11/71] Completed: src/local_deepwiki/models.py (38.1s, 1.6/min, ETA: 36m 49s)
16:10:46 [12/71] Completed: src/local_deepwiki/errors.py (49.5s, 1.6/min, ETA: 37m 14s)
16:11:17 [13/71] Completed: src/local_deepwiki/watcher.py (31.3s, 1.6/min, ETA: 36m 7s)
16:11:58 [14/71] Completed: src/local_deepwiki/progress.py (40.6s, 1.6/min, ETA: 35m 43s)
16:12:47 [15/71] Completed: src/local_deepwiki/validation.py (49.5s, 1.6/min, ETA: 35m 49s)
16:13:16 [16/71] Completed: src/local_deepwiki/core/secret_detector.py (29.3s, 1.6/min, ETA: 34m 40s)
16:14:10 [17/71] Completed: src/local_deepwiki/core/audit.py (53.3s, 1.5/min, ETA: 34m 51s)
16:15:01 [18/71] Completed: src/local_deepwiki/core/chunker.py (51.0s, 1.5/min, ETA: 34m 49s)
16:20:10 === Wiki generation started ===
16:20:10 [initializing] Started (total: 0)
16:20:35 [modules] Started (total: 0)
16:20:49 [modules] Complete (2 items, 13.5s, 8.9/min)
16:20:49 [file_docs] Started (total: 71)
16:21:27 [1/71] Completed: coverage_html/coverage_html_cb_dd2e7eb5.js (37.8s, 1.6/min, ETA: 44m 5s)
16:21:52 [2/71] Completed: coverage_openai_embeddings/coverage_html_cb_dd2e7eb5.js (25.2s, 1.9/min, ETA: 36m 11s)
16:22:47 [3/71] Completed: src/local_deepwiki/handlers.py (55.3s, 1.5/min, ETA: 44m 39s)
16:23:09 [4/71] Completed: src/local_deepwiki/server.py (21.4s, 1.7/min, ETA: 38m 59s)
16:23:32 [5/71] Completed: htmlcov/coverage_html_cb_dd2e7eb5.js (23.3s, 1.8/min, ETA: 35m 51s)
16:24:17 [6/71] Completed: src/local_deepwiki/models.py (45.0s, 1.7/min, ETA: 37m 33s)
16:25:04 [7/71] Completed: src/local_deepwiki/config.py (47.1s, 1.6/min, ETA: 38m 52s)
16:25:38 [8/71] Completed: src/local_deepwiki/cli_progress.py (33.7s, 1.7/min, ETA: 37m 54s)
16:25:53 [9/71] Completed: src/local_deepwiki/logging.py (15.0s, 1.8/min, ETA: 34m 52s)
16:26:33 [10/71] Completed: src/local_deepwiki/events.py (40.7s, 1.7/min, ETA: 35m 1s)
16:27:07 [11/71] Completed: src/local_deepwiki/prompts.py (34.0s, 1.7/min, ETA: 34m 24s)
16:27:59 [12/71] Completed: src/local_deepwiki/errors.py (51.7s, 1.7/min, ETA: 35m 15s)
16:28:39 [13/71] Completed: src/local_deepwiki/watcher.py (40.2s, 1.7/min, ETA: 34m 58s)
16:29:35 [14/71] Completed: src/local_deepwiki/progress.py (56.1s, 1.6/min, ETA: 35m 43s)
16:30:23 [15/71] Completed: src/local_deepwiki/validation.py (47.1s, 1.6/min, ETA: 35m 41s)
16:30:56 [16/71] Completed: src/local_deepwiki/core/secret_detector.py (33.9s, 1.6/min, ETA: 34m 48s)
16:31:44 [17/71] Completed: src/local_deepwiki/core/audit.py (47.4s, 1.6/min, ETA: 34m 40s)
16:33:38 [18/71] Completed: src/local_deepwiki/core/chunker.py (1m 53s, 1.4/min, ETA: 37m 43s)
16:34:21 [19/71] Completed: src/local_deepwiki/core/llm_cache.py (43.4s, 1.4/min, ETA: 37m 2s)
16:34:55 [20/71] Completed: src/local_deepwiki/core/vectorstore.py (33.9s, 1.4/min, ETA: 35m 57s)
16:35:25 [21/71] Completed: src/local_deepwiki/core/rate_limiter.py (29.6s, 1.4/min, ETA: 34m 54s)
16:36:13 [22/71] Completed: src/local_deepwiki/core/parser.py (48.7s, 1.4/min, ETA: 35m 10s)
16:37:03 [23/71] Completed: src/local_deepwiki/core/index_manager.py (49.3s, 1.4/min, ETA: 34m 13s)
16:38:06 [24/71] Completed: src/local_deepwiki/core/indexer.py (1m 3s, 1.3/min, ETA: 35m 9s)
16:38:51 [25/71] Completed: src/local_deepwiki/core/fuzzy_search.py (44.8s, 1.3/min, ETA: 35m 13s)
16:39:45 [26/71] Completed: src/local_deepwiki/core/git_utils.py (54.3s, 1.3/min, ETA: 34m 48s)
16:40:37 [27/71] Completed: src/local_deepwiki/core/deep_research.py (51.8s, 1.3/min, ETA: 34m 12s)
16:41:03 [28/71] Completed: src/local_deepwiki/security/access_control.py (26.0s, 1.3/min, ETA: 33m 9s)
16:41:32 [29/71] Completed: src/local_deepwiki/security/role_config.py (29.3s, 1.3/min, ETA: 32m 53s)
16:41:49 [30/71] Completed: src/local_deepwiki/security/repository_access.py (16.3s, 1.3/min, ETA: 31m 16s)
16:42:29 [31/71] Completed: src/local_deepwiki/plugins/registry.py (40.2s, 1.3/min, ETA: 30m 43s)
16:42:48 [32/71] Completed: src/local_deepwiki/plugins/base.py (18.8s, 1.4/min, ETA: 28m 52s)
16:43:20 [33/71] Completed: src/local_deepwiki/web/app.py (32.2s, 1.4/min, ETA: 27m 53s)
16:43:25 [34/71] Completed: src/local_deepwiki/providers/credentials.py (5.0s, 1.4/min, ETA: 25m 34s)
16:44:11 [35/71] Completed: src/local_deepwiki/providers/base.py (46.4s, 1.4/min, ETA: 24m 52s)
16:44:27 [36/71] Completed: src/local_deepwiki/providers/llm/cached.py (15.8s, 1.5/min, ETA: 23m 38s)
16:44:52 [37/71] Completed: src/local_deepwiki/providers/llm/openai.py (25.0s, 1.5/min, ETA: 22m 20s)
16:45:21 [38/71] Completed: src/local_deepwiki/providers/llm/anthropic.py (28.5s, 1.7/min, ETA: 19m 20s)
16:45:59 [39/71] Completed: src/local_deepwiki/providers/llm/ollama.py (38.4s, 1.7/min, ETA: 18m 36s)
16:46:22 [40/71] Completed: src/local_deepwiki/providers/embeddings/local.py (22.6s, 1.7/min, ETA: 17m 44s)
16:47:06 [41/71] Completed: src/local_deepwiki/providers/embeddings/cache.py (44.6s, 1.7/min, ETA: 17m 32s)
16:47:28 [42/71] Completed: src/local_deepwiki/providers/embeddings/openai.py (21.4s, 1.8/min, ETA: 16m 17s)
16:47:55 [43/71] Completed: src/local_deepwiki/cli/config_cli.py (27.4s, 1.8/min, ETA: 15m 13s)
16:48:15 [44/71] Completed: src/local_deepwiki/cli/interactive_search.py (20.0s, 2.0/min, ETA: 13m 41s)
16:48:45 [45/71] Completed: src/local_deepwiki/generators/crosslinks.py (30.1s, 2.0/min, ETA: 12m 52s)
16:49:05 [46/71] Completed: src/local_deepwiki/generators/toc.py (20.2s, 2.1/min, ETA: 11m 40s)
16:49:30 [47/71] Completed: src/local_deepwiki/generators/examples_plugin.py (24.7s, 2.3/min, ETA: 10m 39s)
16:49:52 [48/71] Completed: src/local_deepwiki/generators/progress_tracker.py (21.8s, 2.3/min, ETA: 10m 8s)
16:50:16 [49/71] Completed: src/local_deepwiki/generators/stale_detection.py (24.0s, 2.3/min, ETA: 9m 35s)
16:51:02 [50/71] Completed: src/local_deepwiki/generators/manifest.py (45.9s, 2.2/min, ETA: 9m 40s)
16:51:41 [51/71] Completed: src/local_deepwiki/generators/wiki_pages.py (39.4s, 2.2/min, ETA: 9m 12s)
16:52:11 [52/71] Completed: src/local_deepwiki/generators/dependency_graph.py (30.2s, 2.1/min, ETA: 8m 55s)
16:52:38 [53/71] Completed: src/local_deepwiki/generators/context_builder.py (27.0s, 2.1/min, ETA: 8m 22s)
16:53:02 [54/71] Completed: src/local_deepwiki/generators/callgraph.py (24.2s, 2.1/min, ETA: 8m 10s)
16:53:25 [55/71] Completed: src/local_deepwiki/generators/coverage.py (22.2s, 2.2/min, ETA: 7m 22s)
16:53:42 [56/71] Completed: src/local_deepwiki/generators/changelog.py (17.3s, 2.2/min, ETA: 6m 56s)
16:53:57 [57/71] Completed: src/local_deepwiki/generators/wiki_modules.py (15.2s, 2.2/min, ETA: 6m 21s)
16:54:25 [58/71] Completed: src/local_deepwiki/generators/source_refs.py (27.6s, 2.2/min, ETA: 5m 53s)
16:54:46 [59/71] Completed: src/local_deepwiki/generators/wiki_status.py (20.7s, 2.3/min, ETA: 5m 15s)
16:55:22 [60/71] Completed: src/local_deepwiki/generators/search.py (36.2s, 2.2/min, ETA: 4m 57s)
16:56:01 [61/71] Completed: src/local_deepwiki/generators/diagrams.py (38.8s, 2.2/min, ETA: 4m 27s)
16:56:27 [62/71] Completed: src/local_deepwiki/generators/see_also.py (26.3s, 2.2/min, ETA: 4m 2s)
16:57:06 [63/71] Completed: src/local_deepwiki/generators/wiki_files.py (39.5s, 2.2/min, ETA: 3m 40s)
16:57:38 [64/71] Completed: src/local_deepwiki/generators/api_docs.py (31.7s, 2.1/min, ETA: 3m 17s)
16:58:14 [65/71] Completed: src/local_deepwiki/generators/wiki.py (36.3s, 2.1/min, ETA: 2m 50s)
16:58:57 [66/71] Completed: src/local_deepwiki/generators/test_examples.py (42.8s, 2.0/min, ETA: 2m 27s)
16:59:20 [67/71] Completed: src/local_deepwiki/generators/inheritance.py (23.4s, 2.0/min, ETA: 1m 58s)
16:59:41 [68/71] Completed: src/local_deepwiki/generators/glossary.py (20.9s, 2.0/min, ETA: 1m 28s)
17:00:48 [69/71] Completed: src/local_deepwiki/export/html.py (1m 6s, 1.9/min, ETA: 1m 3s)
17:02:29 [70/71] Completed: src/local_deepwiki/export/pdf.py (1m 40s, 1.7/min, ETA: 34.3s)
17:03:02 [71/71] Completed: src/local_deepwiki/export/streaming.py (33.4s, 1.8/min)
17:03:02 [file_docs] Complete (71 items, 42m 13s, 1.7/min)
20:35:53 === Wiki generation started ===
20:35:53 [initializing] Started (total: 0)
20:37:06 [modules] Started (total: 0)
20:37:19 [modules] Complete (2 items, 12.7s, 9.4/min)
20:37:19 [file_docs] Started (total: 71)
20:37:32 [1/71] Completed: src/local_deepwiki/logging.py (13.3s, 4.5/min, ETA: 15m 31s)
20:37:59 [2/71] Completed: coverage_html/coverage_html_cb_dd2e7eb5.js (27.5s, 2.9/min, ETA: 23m 28s)
20:38:46 [3/71] Completed: src/local_deepwiki/models.py (46.7s, 2.1/min, ETA: 33m 2s)
20:39:12 [4/71] Completed: htmlcov/coverage_html_cb_dd2e7eb5.js (25.6s, 2.1/min, ETA: 31m 33s)
20:39:51 [5/71] Completed: src/local_deepwiki/cli_progress.py (39.0s, 2.0/min, ETA: 33m 27s)
20:40:19 [6/71] Completed: coverage_openai_embeddings/coverage_html_cb_dd2e7eb5.js (28.4s, 2.0/min, ETA: 32m 34s)
20:41:07 [7/71] Completed: src/local_deepwiki/handlers.py (48.1s, 1.8/min, ETA: 34m 49s)
20:41:27 [8/71] Completed: src/local_deepwiki/server.py (20.2s, 1.9/min, ETA: 32m 38s)
20:42:27 [9/71] Completed: src/local_deepwiki/events.py (59.4s, 1.8/min, ETA: 35m 22s)
20:43:23 [10/71] Completed: src/local_deepwiki/config.py (56.3s, 1.6/min, ETA: 37m 2s)
20:44:16 [11/71] Completed: src/local_deepwiki/generators/diagrams.py (53.0s, 1.6/min, ETA: 37m 56s)
20:44:46 [12/71] Completed: src/local_deepwiki/prompts.py (30.4s, 1.6/min, ETA: 36m 41s)
20:46:37 [13/71] Completed: src/local_deepwiki/errors.py (1m 50s, 1.4/min, ETA: 41m 29s)
20:47:07 [14/71] Completed: src/local_deepwiki/watcher.py (30.4s, 1.4/min, ETA: 39m 55s)
20:47:35 [15/71] Completed: src/local_deepwiki/progress.py (27.6s, 1.5/min, ETA: 38m 20s)
20:48:22 [16/71] Completed: src/local_deepwiki/validation.py (47.7s, 1.4/min, ETA: 38m 1s)
20:48:59 [17/71] Completed: src/local_deepwiki/core/secret_detector.py (36.9s, 1.5/min, ETA: 37m 5s)
20:49:44 [18/71] Completed: src/local_deepwiki/core/audit.py (44.9s, 1.4/min, ETA: 36m 34s)
20:50:46 [19/71] Completed: src/local_deepwiki/core/chunker.py (1m 2s, 1.4/min, ETA: 36m 50s)
20:51:26 [20/71] Completed: src/local_deepwiki/core/llm_cache.py (39.6s, 1.4/min, ETA: 36m 0s)
20:52:16 [21/71] Completed: src/local_deepwiki/core/vectorstore.py (50.3s, 1.4/min, ETA: 36m 50s)
20:52:46 [22/71] Completed: src/local_deepwiki/core/rate_limiter.py (30.3s, 1.4/min, ETA: 36m 12s)
20:53:44 [23/71] Completed: src/local_deepwiki/core/parser.py (57.4s, 1.3/min, ETA: 35m 54s)
20:54:30 [24/71] Completed: src/local_deepwiki/core/index_manager.py (46.1s, 1.3/min, ETA: 35m 57s)
20:55:15 [25/71] Completed: src/local_deepwiki/core/indexer.py (45.7s, 1.3/min, ETA: 35m 27s)
20:55:57 [26/71] Completed: src/local_deepwiki/core/fuzzy_search.py (41.6s, 1.3/min, ETA: 35m 10s)
20:56:32 [27/71] Completed: src/local_deepwiki/core/git_utils.py (35.2s, 1.3/min, ETA: 33m 55s)
20:56:33 [28/71] Completed: src/local_deepwiki/providers/llm/cached.py (0.3s, 1.3/min, ETA: 32m 26s)
20:57:10 [29/71] Completed: src/local_deepwiki/core/deep_research.py (37.8s, 1.4/min, ETA: 30m 55s)
20:57:37 [30/71] Completed: src/local_deepwiki/security/access_control.py (26.3s, 1.4/min, ETA: 29m 10s)
20:57:57 [31/71] Completed: src/local_deepwiki/security/role_config.py (20.5s, 1.5/min, ETA: 27m 22s)
20:58:16 [32/71] Completed: src/local_deepwiki/security/repository_access.py (19.0s, 1.5/min, ETA: 26m 19s)
20:58:54 [33/71] Completed: src/local_deepwiki/plugins/registry.py (37.4s, 1.6/min, ETA: 23m 20s)
20:59:25 [34/71] Completed: src/local_deepwiki/plugins/base.py (31.2s, 1.6/min, ETA: 22m 44s)
20:59:53 [35/71] Completed: src/local_deepwiki/web/app.py (28.1s, 1.6/min, ETA: 22m 8s)
21:00:00 [36/71] Completed: src/local_deepwiki/providers/credentials.py (7.4s, 1.7/min, ETA: 20m 21s)
21:00:01 [37/71] Completed: src/local_deepwiki/generators/crosslinks.py (0.4s, 1.8/min, ETA: 18m 44s)
21:00:01 [38/71] Completed: src/local_deepwiki/generators/toc.py (0.0s, 1.9/min, ETA: 16m 57s)
21:00:50 [39/71] Completed: src/local_deepwiki/providers/base.py (49.4s, 2.0/min, ETA: 16m 6s)
21:01:19 [40/71] Completed: src/local_deepwiki/providers/llm/openai.py (28.6s, 2.0/min, ETA: 15m 19s)
21:01:19 [41/71] Completed: src/local_deepwiki/generators/stale_detection.py (0.0s, 2.2/min, ETA: 13m 34s)
21:01:20 [42/71] Completed: src/local_deepwiki/generators/manifest.py (0.7s, 2.3/min, ETA: 12m 24s)
21:01:56 [43/71] Completed: src/local_deepwiki/providers/llm/anthropic.py (36.0s, 2.4/min, ETA: 11m 28s)
21:02:32 [44/71] Completed: src/local_deepwiki/providers/llm/ollama.py (36.1s, 2.5/min, ETA: 10m 50s)
21:02:50 [45/71] Completed: src/local_deepwiki/providers/embeddings/local.py (18.8s, 2.6/min, ETA: 9m 51s)
21:02:50 [46/71] Completed: src/local_deepwiki/generators/callgraph.py (0.0s, 2.9/min, ETA: 8m 36s)
21:02:50 [47/71] Completed: src/local_deepwiki/generators/coverage.py (0.0s, 3.2/min, ETA: 7m 33s)
21:02:50 [48/71] Completed: src/local_deepwiki/generators/changelog.py (0.0s, 3.2/min, ETA: 7m 14s)
21:02:51 [49/71] Completed: src/local_deepwiki/generators/wiki_modules.py (0.5s, 3.5/min, ETA: 6m 14s)
21:02:51 [50/71] Completed: src/local_deepwiki/generators/source_refs.py (0.0s, 3.8/min, ETA: 5m 29s)
21:03:25 [51/71] Completed: src/local_deepwiki/providers/embeddings/cache.py (34.0s, 3.7/min, ETA: 5m 27s)
21:03:26 [52/71] Completed: src/local_deepwiki/generators/search.py (1.3s, 3.9/min, ETA: 4m 54s)
21:03:26 [53/71] Completed: src/local_deepwiki/generators/see_also.py (0.0s, 4.4/min, ETA: 4m 5s)
21:03:45 [54/71] Completed: src/local_deepwiki/providers/embeddings/openai.py (18.8s, 4.6/min, ETA: 3m 41s)
21:04:11 [55/71] Completed: src/local_deepwiki/cli/config_cli.py (26.2s, 4.6/min, ETA: 3m 26s)
21:04:32 [56/71] Completed: src/local_deepwiki/cli/interactive_search.py (20.6s, 4.4/min, ETA: 3m 23s)
21:04:54 [57/71] Completed: src/local_deepwiki/generators/examples_plugin.py (22.5s, 4.1/min, ETA: 3m 25s)
21:04:54 [58/71] Completed: src/local_deepwiki/generators/inheritance.py (0.0s, 4.1/min, ETA: 3m 10s)
21:04:55 [59/71] Completed: src/local_deepwiki/generators/glossary.py (0.8s, 4.9/min, ETA: 2m 27s)
21:05:14 [60/71] Completed: src/local_deepwiki/generators/progress_tracker.py (18.8s, 5.1/min, ETA: 2m 9s)
21:06:24 [61/71] Completed: src/local_deepwiki/generators/wiki_pages.py (1m 9s, 3.9/min, ETA: 2m 32s)
21:08:01 [62/71] Completed: src/local_deepwiki/generators/dependency_graph.py (1m 37s, 3.0/min, ETA: 3m 0s)
21:08:35 [63/71] Completed: src/local_deepwiki/generators/context_builder.py (33.7s, 3.0/min, ETA: 2m 39s)
21:08:56 [64/71] Completed: src/local_deepwiki/generators/wiki_status.py (21.1s, 3.1/min, ETA: 2m 14s)
21:09:43 [65/71] Completed: src/local_deepwiki/generators/wiki_files.py (47.3s, 2.9/min, ETA: 2m 3s)
21:10:23 [66/71] Completed: src/local_deepwiki/generators/api_docs.py (39.6s, 2.7/min, ETA: 1m 53s)
21:11:08 [67/71] Completed: src/local_deepwiki/generators/wiki.py (45.6s, 2.4/min, ETA: 1m 39s)
21:11:48 [68/71] Completed: src/local_deepwiki/generators/test_examples.py (39.9s, 2.2/min, ETA: 1m 20s)
21:12:32 [69/71] Completed: src/local_deepwiki/export/html.py (43.5s, 2.1/min, ETA: 58.1s)
21:13:23 [70/71] Completed: src/local_deepwiki/export/pdf.py (51.9s, 1.9/min, ETA: 31.6s)
